epoch,train_loss,val_main_loss,mean_dice,miou,learning_rate,background_iou,building_iou,road_iou,water_iou,barren_iou,forest_iou,agricultural_iou,background_dice,building_dice,road_dice,water_dice,barren_dice,forest_dice,agricultural_dice
2,3.4148146364423964,1.8134840422222327,0.5358898894430494,0.3811808440885191,0.00046209665094330013,0.49259812350816107,0.46454696656494227,0.34753610149127534,0.4362262477239774,0.07687669019969173,0.38088580897671553,0.4695959701548705,0.6600545930613555,0.6343899883996557,0.5158097079650307,0.6074617399804184,0.14277714598026267,0.5516543171067348,0.6390817336078882
4,3.0938796435556712,1.9227323004269472,0.5592198574506179,0.39499895702114346,0.0004237830981151841,0.4798876843631959,0.47333779654849223,0.39636524291140324,0.47052809742320356,0.1921672879289512,0.3612061215987465,0.39150046837401176,0.6485460882387089,0.6425380488539081,0.5677099812152111,0.639944382222559,0.32238309149177674,0.5307148063285335,0.5627026038036275
6,2.988497326061839,1.7474495277139082,0.5874275099822854,0.4235003460594982,0.0003851110125695002,0.4993329809388066,0.5257317444647925,0.40440403850430756,0.4879524191605434,0.21398776680810214,0.3647373972254182,0.46835607531451695,0.6660734970642072,0.6891535767963098,0.5759083958986596,0.6558709981275221,0.35253694091289417,0.5345166007276538,0.6379325603487515
8,2.918164228967258,1.7083153559677324,0.5996861261192523,0.435873224096983,0.00034600168849533694,0.5086358721832788,0.5329921660875571,0.4213086346032937,0.4831723918129957,0.21726580665323625,0.3973227560476781,0.49041494129084096,0.6742990559374508,0.6953618914411532,0.5928460917580882,0.6515390853822149,0.356973481824137,0.5686914556111631,0.6580918208805596
10,2.844770093191238,1.8359408329317426,0.5975636462317426,0.43029235832743434,0.00030639365619520025,0.494002239995212,0.5149186006844164,0.4309703087235991,0.5055615298382037,0.28770095289363606,0.381078194848908,0.3978146813080653,0.6613139214527485,0.6797970537186411,0.6023469614935857,0.6715919872003294,0.446844358151842,0.5518560734218217,0.5691951681832288
12,2.819518407280483,1.8200128460230407,0.5803886803433839,0.41883852785374515,0.00026617428924766303,0.49185220954198833,0.5353009477276628,0.4227984580057919,0.5171324208606002,0.17646593278586958,0.3692999147135055,0.4190198113407979,0.6593846312604802,0.69732380289342,0.5943195336300692,0.681723511738355,0.2999932728489613,0.5393996023008195,0.5905764077315822
14,2.7667627003930866,1.8302653002267544,0.5858097782503588,0.4253552431577304,0.0002252977192610264,0.4989370193245083,0.5311878909957175,0.43238847583895457,0.5605823968381707,0.1772970980305895,0.3566666850370002,0.4204271360391713,0.6657211248933632,0.6938245712618467,0.6037307380397671,0.7184271692080376,0.3011934682030157,0.5257985457603728,0.5919728303861088
16,2.756093631046159,1.8230323442947085,0.5974977910419456,0.43162034415723527,0.00018354089196395804,0.4999553793388907,0.5402382177306446,0.4148687810138706,0.48790976760833377,0.2583326040758396,0.37582399170250447,0.44421366763056264,0.6666270026769028,0.7014995622256672,0.5864413528392121,0.655832468110751,0.41059510536257215,0.5463256840541696,0.6151633620243439
18,2.728524538212352,1.785890423515873,0.5930940066215993,0.4316672812308426,0.00014072384412623938,0.5054559964482932,0.5485257657723202,0.44313040332774406,0.5008063380118357,0.18201952429780385,0.37775859366978815,0.4639743470881127,0.6714988649828049,0.7084490008453239,0.6141238550666254,0.6673830264806441,0.3079805714815671,0.5483668843082198,0.6338558431860108
20,2.7288231178408577,1.8156758252198715,0.5998146779101603,0.43661593208593436,9.637817659631174e-05,0.5033725016401407,0.54138306230249,0.4558930567913462,0.5142306080497484,0.21238802440948523,0.382588632385684,0.44645563902264584,0.6696577210118906,0.702464008516847,0.6262727260971934,0.6791972178029754,0.350363118297762,0.5534381281951086,0.617309825449346
22,2.7093235017761352,1.751007457776581,0.6068782915307207,0.4445523639726817,4.9480669865444906e-05,0.5086826577811079,0.5544194678801765,0.4563172206070717,0.5261636186586357,0.21040657132911791,0.3883291195674987,0.46754789198516383,0.6743401671087701,0.7133460167431643,0.6266728349429996,0.6895245204719105,0.34766263884056015,0.5594193971649511,0.637182465442689
24,2.686498428183484,1.7538626390777712,0.6085134049826821,0.444890628872136,0.0,0.5088735331230191,0.5500087979190241,0.45039266907758263,0.525886414243368,0.2338488037133417,0.38216310366315687,0.46306108036545923,0.6745078655727609,0.7096847432833189,0.6210630799230699,0.6892864492854616,0.37905585029471967,0.5529927729228298,0.6330030735966141
