actual\predicted,background,building,road,water,barren,forest,agricultural
background,533873268,29168520,7382316,12482140,1965318,16748467,13630653
building,32247062,88506720,482281,316245,103187,551377,598919
road,33043814,1805118,42269016,268252,411516,1221297,571487
water,66884630,275326,246779,118908652,655828,4727409,7869192
barren,44150387,535785,513291,1264150,18957026,538461,8424033
forest,55925638,79404,185326,676427,178028,63408587,5162237
agricultural,201625386,6248791,5448761,11535873,3368301,16517564,242338026
